,entry,sentiment_id
0,"

I'm feeling really sad today. I'm not sure why, but I just feel really down. I'm trying to keep busy and distract myself, but it's not really working. I just feel really lonely and sad. I miss my friends and family. I know I should reach out to them, but I just feel like I can't right now. I",0
1,"

I'm feeling really sad today. I don't know why, but I just feel really down. I'm trying to keep busy and not think about it, but it's hard. I just feel like crying. I wish I could just make this feeling go away.",0
2,"

I'm feeling really sad today. I don't know why, but everything just feels overwhelming. I feel like I can't catch a break. I just want to curl up in a ball and hide away from the world. I know that's not really an option though. I have to keep going. I'll just take it one day at a time.",0
3,"

I'm feeling really sad today. I don't know why, but everything just feels really heavy and difficult. I just want to curl up in a ball and disappear. I feel like I can't do anything right and that everyone is better off without me. I know that's not true, but it's how I feel right now. I just wish I could",0
4,"

I'm feeling really sad today. I'm not sure why, but everything just feels really hard. I miss my friends and family, and I just feel really lonely. I hope tomorrow is a better day.",0
5,"

I'm feeling really sad today. I don't know why, but I just feel like crying. I feel like I'm not good enough and that everyone is better than me. I know that's not true, but I can't help how I feel. I just wish I could be happy.",0
6,"

I'm feeling really sad today. I'm not sure why, but everything just feels really hard. I miss my friends and family, and I just feel really lonely. I hope tomorrow is a better day.",0
7,"

I'm feeling really sad today. I don't know why, but everything just feels really hard. I'm just so tired all the time, and I can't seem to make myself be interested in anything. Everything feels like such a struggle.

I just feel so lonely all the time. It's like there's this big hole inside of me that can",0
8,"

Dear Diary,

I'm feeling really sad today. I'm not sure why, but I just feel like I'm in a low place. I miss my friends and family and I just feel really alone. I know I shouldn't dwell on these things, but it's hard not to when I'm feeling so down. I'm just hoping that tomorrow will",0
9,"

The sky is so gray today. I feel like it's reflecting how I'm feeling on the inside. I'm just so sad. I don't know what's wrong with me. I don't want to do anything. I'm just so tired.

I miss my friends. I miss being happy. I miss feeling like I'm worth something. I",0
10,"

I'm feeling really sad today. I don't know why, but everything just feels really hard. I miss my friends and family, and I just feel really lonely. I hope tomorrow is a better day.",0
11,"

Dear Diary,

I'm feeling really sad today. I'm not sure why, but I just can't seem to shake this feeling. Everything feels like it's just too much effort. I don't even want to get out of bed. I know I should try to do something, but I just can't seem to muster the energy. I hope tomorrow",0
12,"

I'm feeling really sad today. I don't know why, but I just feel like crying. I feel like I'm not good enough and that everyone is better than me. I know that's not true, but I can't help how I feel. I just wish I could be happy.",0
13,"

Dear Diary,

I'm feeling really sad today. I don't know why, but everything just feels wrong. I'm just so tired and overwhelmed all the time. I feel like I can't do anything right.

I just wish I could feel happy again. I miss the days when I would wake up feeling excited about the day ahead. Now",0
14,"

I'm feeling really sad today. I don't know why, but everything just feels really hard. I just want to curl up in a ball and cry. I feel like I can't do anything right. I know that's not true, but it's how I feel right now. I hope tomorrow is a better day.",0
15,"

I'm feeling really down today. I don't know why, but everything just feels wrong. I'm just so tired of everything. I wish things could be different, but I know they're not. I'm just so sad.",0
16,"

I'm feeling really sad today. I don't know why, but I just feel like crying. I miss my friends and I miss being happy. I feel like I'm just existing and not really living. I don't know what to do to make myself feel better.",0
17,"

Dear Diary,

I'm feeling really sad right now. I'm not sure what's wrong, but I just feel really down. I don't want to do anything or see anyone. I just want to be alone.

I know I should probably try to snap out of it, but I just can't seem to. I hope I'm feeling",0
18,"

I'm feeling really sad today. I don't know why, but everything just feels really hard. I just want to curl up in a ball and cry. I feel like I can't do anything right. I know I shouldn't feel this way, but I can't help it. I just wish things were different.",0
19,"

Dear Diary,

I'm feeling really sad today. Everything feels like it's just too much to handle and I can't seem to make myself feel better. I miss the days when everything was simpler and I didn't have all of these responsibilities weighing me down. I know I need to be strong and keep going, but right now I just feel like giving",0
20,"

I'm feeling really sad today. I don't know why, but everything just feels really hard. I miss my friends and family, and I just feel really lonely. I hope tomorrow is a better day.",0
21,"

I'm feeling really sad today. I don't know why, but everything just feels really hard. I just want to curl up in a ball and hide away from the world. I feel like I can't do anything right and that everyone is against me. I know that's not true, but it's how I feel right now. I just wish things were",0
22,"

I'm feeling really sad today. I don't know why, but I just feel like crying. I'm trying to hold it in, but it's really hard. I just feel so alone and helpless. I wish I had someone to talk to, but I don't. I feel like I'm just going through the motions of life and I don't know",0
23,"

I'm feeling really sad right now. I don't know why, but I just feel really down. I'm trying to keep busy and not think about it, but it's hard. I just wish I could make this feeling go away.",0
24,"

I'm feeling really sad today. I don't know why, but I just feel really down. I'm trying to distract myself by watching TV and browsing the internet, but it's not really working. I'm just feeling really lonely and sad. I wish I had someone to talk to.",0
25,"

Dear Diary,

Today was a really tough day. I'm feeling really sad and down. Everything seems to be going wrong. I just feel like I can't catch a break. I'm just so tired of all this. I wish things would just get better. I feel like I'm just stuck in this rut and I can't get out.",0
26,"

I'm feeling really down today. I'm not sure why, but I just feel really sad. I keep thinking about all the things that are wrong in my life and I can't seem to shake this feeling. I don't want to do anything, I just want to lay in bed and hope that this feeling goes away.",0
27,"

Dear Diary,

I'm feeling really sad today. I don't know why, but I just feel like crying. I miss my friends and I miss being happy. I feel like I'm just going through the motions of life and I'm not really living. I don't know what to do.",0
28,"

Dear Diary, 

I'm feeling really sad today. I don't know why, but I just feel like crying. Everything seems so hopeless and I just feel so alone. I wish I had someone to talk to, but it feels like nobody understands me. I feel like I'm just a burden to everyone. I know I shouldn't feel this way",0
29,"

I'm feeling really sad today. I don't know why, but everything just feels really overwhelming and I can't seem to shake this feeling. I feel like I'm just stuck in this low place and I can't seem to get out of it. I'm trying to be positive and focus on the good things in my life, but it's just really hard",0
30,"

I'm feeling really sad today. I'm not sure why, but I just feel down in the dumps. I'm trying to keep busy and not think about it, but it's hard. I just feel like crying. I miss my friends and family. I know they're all busy with their own lives, but I just wish I could talk to them.",0
31,"

Dear Diary,

I'm feeling really sad today. I don't know why, but everything just feels really hard. I miss my friends and I miss being happy. I know I'll feel better eventually, but right now I just feel really down.",0
32,"

I'm feeling really sad today. I don't know why, but I just feel really down. I'm trying to do things to make myself feel better, but nothing is working. I just feel really empty inside. I hope tomorrow is a better day.",0
33,"

I'm feeling really sad today. I don't know why, but everything just feels really heavy. I keep trying to make myself feel better, but nothing seems to work. I just feel really lonely and lost.",0
34,"

I'm feeling really sad today. I'm not sure why, but I just feel like I'm in a funk. I don't want to do anything and I'm just feeling really down. I hope that tomorrow is a better day.",0
35,"

I'm feeling really sad today. I'm not sure why, but everything just feels really heavy. I'm just not in a good place right now. I miss my friends and family, and I just feel really alone. I know I shouldn't dwell on these negative feelings, but they just keep creeping up on me. I just want to be happy again.",0
36,"

Dear Diary,

I'm feeling really sad today. I'm not sure why, but I just feel like I'm in a low place. I miss my friends and I miss feeling happy. I know I'll get out of this funk eventually, but for now I'm just going to wallow in my misery.",0
37,"

Dear Diary,

I'm feeling really sad today. I don't know why, but everything just feels really hard. I miss my mom and dad a lot today. I know they're always there for me, but I just wish they could be here with me right now. I feel like I'm just really struggling today and I don't know what to",0
38,"

I'm feeling really sad today. I don't know why, but I just feel really down. I'm trying to do things to make myself feel better, but nothing is really working. I just feel really lonely and like there's no one who understands me. I'm just going to try to go to bed early and hope that I feel better in the morning",0
39,"

I'm feeling really sad today. I'm not sure why, but I just feel really down. I'm trying to stay positive, but it's hard. I miss my friends and family. I wish I could just be happy.",0
40,"

Dear Diary,

I'm feeling really sad today. I don't know why, but everything just feels wrong. I'm trying to keep busy and not think about it, but it's hard. I just feel so lonely and down. I hope tomorrow is a better day.",0
41,"

Dear Diary,

Today was a really tough day. I'm feeling really sad and down. Everything just feels so hard right now. I miss the happy, carefree days when everything was easy. I know I need to keep going and be strong, but it's just so hard. I feel like I can't do anything right. I hope tomorrow is",0
42,"

Dear Diary,

I'm feeling really sad right now. I don't know what to do. I feel like I'm just not good enough. I feel like I'm not worth anything. I'm just so sad all the time. I wish I could just be happy. I don't know what to do.",0
43,"

I'm feeling really sad today. I don't know why, but everything just feels really hard. I just feel like I can't do anything right. I know I shouldn't feel this way, but I can't help it. I just feel so alone.",0
44,"

Dear Diary,

I'm feeling really sad today. I'm not sure why, but I just feel like I'm in a funk. Everything feels gray and bleak. I don't want to do anything or see anyone. I just want to stay in my room and curl up in a ball.

I know this isn't healthy, but I can",0
45,"

Dear Diary,

I'm feeling really sad today. I don't know why, but I just can't seem to shake this feeling. I try to distract myself with other things, but nothing seems to work. I just feel so heavy and down.

I hate feeling like this. It's like there's this big dark cloud hanging over me.",0
46,"

Dear Diary,

I'm feeling really sad today. I'm not sure why, but everything just seems to be getting me down. I miss my friends and family, and I just feel so alone. I know I shouldn't be feeling this way, but I can't help it. I just want to curl up in a ball and stay in bed all",0
47,"

I'm feeling really sad today. I don't know why, but everything just feels really hard. I just feel like I can't catch a break. I know I shouldn't dwell on things, but it's just hard when everything feels so difficult. I'm just really struggling today.",0
48,"

Dear Diary,

I'm feeling really sad today. I'm not sure why, but everything just feels really hard. I miss my friends and family, and I just feel really lonely. I hope tomorrow is a better day.",0
49,"

Dear Diary,

I'm feeling really sad today. I don't know why, but I just can't seem to stop crying. I feel like I'm never going to be happy again. I know that's not true, but it feels like it right now. I just wish I could find a way to snap out of this funk.",0
50,"

I'm feeling really sad right now. I'm not sure why, but I just feel like crying. I miss my friends and family, and I just feel really lonely. I hope things will get better soon.",0
51,"

I'm feeling really sad today. I don't know why, but everything just feels hopeless. I feel like I can't do anything right and that everything is just falling apart. I know I shouldn't feel this way, but I can't help it. I just feel so lost and alone.",0
52,"

Dear Diary,

I'm feeling really sad today. I don't know why, but I just feel like crying. I miss my friends and I miss being happy. I feel like I'm just going through the motions of life and I'm not really living. I don't know what to do.",0
53,"

I'm feeling really sad today. I don't know why, but everything just feels so heavy. I miss my friends and family, and I just feel so alone. I know I shouldn't dwell on these things, but I can't help it. I just feel so lost right now.",0
54,"

I'm feeling really sad today. I don't know why, but everything just feels like it's too much. I just want to curl up in a ball and cry. I feel like I'm never going to be happy again.",0
55,"

Dear Diary,

Today was a tough day. I woke up feeling really down and nothing could cheer me up. I tried to go about my day as usual, but everything felt pointless. I just couldn't shake this feeling of sadness.

I don't know what's wrong with me. I don't have anything to be sad about. I have",0
56,"

Dear Diary,

I'm feeling really sad today. I don't know why, but everything just feels wrong. I'm trying to force a smile, but it's not working. I feel like I'm stuck in this dark hole and I can't get out. I just want to curl up in a ball and cry. I hate feeling like this.",0
57,"

Dear Diary,

I'm feeling really sad today. I don't know why, but I just can't seem to shake this feeling. I'm trying to be positive and focus on the good things in my life, but it's just so hard right now. I know things will get better, but it's just hard to see that right now. I",0
58,"

I'm feeling really sad today. I don't know why, but everything just feels really hard. I miss my friends and family, and I just feel really lonely. I know I should reach out and talk to someone, but I just can't seem to make myself do it. I'm just going to curl up in bed and try to sleep this feeling away",0
59,"

Dear Diary,

I'm feeling really sad today. I don't know why, but everything just feels wrong. I'm trying to keep a positive attitude, but it's really hard. I just want to curl up in a ball and cry. I feel like I'm never going to be happy again.

I know I shouldn't feel this way",0
60,"

I'm feeling really sad today. I don't know why, but I just feel like crying. I miss my friends and family and I just feel so alone. I know I shouldn't feel this way, but I can't help it. I hope tomorrow is a better day.",0
61,"

I'm feeling really sad today. I don't know why, but I just feel really down. I don't want to do anything, I just want to curl up in a ball and cry. I feel like I'm never going to be happy again. I know that's not true, but I can't seem to shake this feeling. I hope tomorrow is",0
62,"

I'm feeling really sad today. I'm not sure why, but everything just feels really heavy and difficult. I feel like I'm carrying around a big weight, and it's just getting harder and harder to keep going. I don't know what to do. I feel like I'm just stuck in this big dark hole and I can't get out.",0
63,"

I'm feeling really sad today. I don't know why, but I just feel really down. I'm trying to focus on the positive things in my life, but it's just really hard right now. I know that things will eventually get better, but it just feels like such a long way off. I'm just really struggling today.",0
64,"

I'm feeling really sad today. I don't know why, but I just feel really down. I'm trying to brighten up my day by doing things that I enjoy, but nothing seems to be working. I just want to curl up in a ball and sleep. I hope tomorrow is a better day.",0
65,"

I'm feeling really sad today. I don't know why, but I just feel really down. I'm trying to stay positive, but it's hard. I miss my friends and family. I just wish I could see them. I know they're always there for me, but it's just not the same. I'm just really lonely right now.",0
66,"

Dear Diary,

I'm feeling really sad right now. I don't know why, but I just feel really down. I'm trying to think of happy things but it's just not working. I'm just really hoping that this feeling goes away soon.",0
